task,method,seed,cost,success,strict_success,violation,reach_avoid,steps,training_interactions,online_model_predictions,evaluation_interactions,input_sha,checkpoint_sha,noise_std_action_range_fraction
stochastic_pendulum_swing_up,SAC,4,47.43435413685036,1.0,1.0,0.0,1.0,47.2,100000,0,944,4cf7e85dce3f19f12c0dbf4c62fe1c768ffe8ad38f9004de96def243daff3fe0,0a1259542730a11dca8f66d7aec4e9b2ff54ce06f1a64cde28cbe7216a8a5180,0.05
stochastic_continuous_point_mass,SMoSE,4,24.666565814642205,0.0,0.0,0.0,0.0,120.0,100000,0,2400,86f06336c23c0ea4e7f1bc60c55d857e939162ecbbf9337872384805d7d9fbf3,a03926bb437540f9e315a861eca536bc682fbff240a0379051fd099790fc73a0,0.05
stochastic_continuous_point_mass,SAC,4,8.32022483510837,1.0,1.0,0.0,1.0,15.15,100000,0,303,86f06336c23c0ea4e7f1bc60c55d857e939162ecbbf9337872384805d7d9fbf3,7b107ada4a7374b75e41ff9edb00903264d82cb0dcea1939fbdab42fe8fb224c,0.05
stochastic_continuous_double_integrator_parking,SMoSE,4,3.7736161922824665,1.0,1.0,0.0,1.0,10.35,100000,0,207,32ce289c84302c75843f3b40c5012981246463a748c677c7d336cb94cef4925f,1ae9b6b4a5945288bd7a9e830085f260f84ad7eb73c072bf3c48c1f3874f2092,0.05
stochastic_continuous_double_integrator_parking,SAC,4,3.730466432807854,1.0,1.0,0.0,1.0,10.1,100000,0,202,32ce289c84302c75843f3b40c5012981246463a748c677c7d336cb94cef4925f,ebacd0902a7b2d5453e2a4c2e6cbff69d1a8fd842095ba47ef12cd7dec8946a5,0.05
stochastic_continuous_braking_car,SMoSE,5,14.128909622995891,0.9,0.9,0.1,0.9,1.15,100000,0,23,7787fb4cfd382e904dd4f8aff2a5a41e75b88b83b8714666ef9c5668d64c1774,0146575e01fc6f90c469db1bda181d6f1b92d289a8297d846d4b28058b350701,0.05
stochastic_continuous_braking_car,SAC,5,13.300989871086887,0.9,0.9,0.1,0.9,1.25,100000,0,25,7787fb4cfd382e904dd4f8aff2a5a41e75b88b83b8714666ef9c5668d64c1774,9bbde54645fb1b2cf591c950dcc7306a4a312d1ff1e845dfcb47b7fa2f1ffbcd,0.05
stochastic_pendulum_swing_up,SMoSE,5,51.4454162158036,1.0,1.0,0.0,1.0,47.25,100000,0,945,f0b2bce107a9402b8170215c933c5a225db2ed223a0df4f03b7159867db9d578,58bffcc3f7f214d647ff25ce451a1af14304f3186a8ade74a1fec2c7e54d3f34,0.05
stochastic_pendulum_swing_up,SAC,5,46.47011938899219,1.0,1.0,0.0,1.0,43.9,100000,0,878,f0b2bce107a9402b8170215c933c5a225db2ed223a0df4f03b7159867db9d578,742f9bd8d0aca6042677ac8d7cec290ccfe06f2b19958dbdab88c1d9dfa40449,0.05
stochastic_continuous_point_mass,SMoSE,5,48.05615976134104,0.0,0.0,0.0,0.0,120.0,100000,0,2400,2bcdc65cda3e4c43767878730b2fca6f1cee7774482ffa229d8f3a0c0906d04b,e30e8a2087ae05f030ba3c2c3619b7abbf082f4bb8c07ca8ecddbe12681294a3,0.05
