benchmark,method,seed,seconds,preparation_seconds,evaluation_seconds,iterations,mean_cost,success_rate,violation_rate,blocks,core_blocks,truncated_blocks,frontier_transitions,absorption_samples,status,model_calls,partition_seconds,absorption_seconds,frontier_solve_seconds,frontier_mode,frontier_backend,exact_action_projection,exact_projection_available,exact_projection_mean_width,exact_projection_feasible_rate,exact_projection_activation_rate,exact_projection_clipping_rate,action_regime,control_route,execution_device,scale_size,grid_state_count,block_compression_ratio,scalability_family,transition_regime,noise_scale,noise_model,action_sample_count,action_perturbation_count,action_perturbation_rate,mean_abs_action_deviation,mean_intended_action,mean_executed_action,frontier_hit_entropy,transition_expectation,scenario_count,evaluation_protocol,topology_noise_projection,topology_noise_interval_probability,topology_noise_support_points,support_aware_control,planning_horizon,training_seconds,scala_process_seconds,training_episodes,evaluation_episodes,alpha,gamma,epsilon0,epsilon_decay_factor,min_exploration,reward_mode,success_bonus,potential_scale,partition_variant,training_initialization,training_model_calls,evaluation_model_calls,learned_policy_entries,defaulted_blocks,defaulted_block_ids,source_artifact,partition_source,environment_parity,evaluation_owner,recorded_model_calls,preparation_model_calls,online_model_calls,absorption_model_calls,other_preparation_model_calls,call_count_source,control_and_runtime_source
stochastic_braking_car,SDTA-MDP,5,7.915438799886033,7.821961399866268,0.0934768000151962,2,13.6751,0.9,0.1,6,4,2,30,32,ok,3289,0.20148869999684393,7.619334300048649,0.0006544000934809446,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,29,2,0.06896551724137931,0.34448275862068967,-3.036620689655172,-3.0362758620689654,0.21072584688710244,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,692,692,2597,692,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,5,0.10871089994907379,0.10568949999287724,0.003020100062713027,5,19.7525,0.85,0.15,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,1,0.047619047619047616,0.23809523809523808,-5.595238095238095,-5.357142857142857,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,5,0.04212659993208945,0.04032579995691776,0.0018001000862568617,400,17.0,0.9,0.1,,,,,,ok,450,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.4995,-7.0009999999999994,-7.5005,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,450,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,5,0.06109239999204874,0.0,0.06107159983366728,0,13.184999999999999,0.9,0.1,,,,,,ok,1574,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,24,1,0.041666666666666664,0.20833333333333334,-3.4791666666666665,-3.2708333333333335,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1574,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,6,8.845743600046262,8.736061099916697,0.10968200000934303,2,24.4026,0.8,0.2,6,4,2,33,32,ok,3298,0.18090449995361269,8.553875100100413,0.000677900156006217,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,29,2,0.06896551724137931,0.3275862068965517,-4.227655172413793,-3.900068965517241,0.20071841453699318,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,701,701,2597,701,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,6,0.10856959992088377,0.10594389983452857,0.0026247999630868435,5,25.625,0.8,0.2,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.25,-7.25,-7.0,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,6,0.041736199986189604,0.03976910002529621,0.001966299954801798,400,30.130000000000003,0.75,0.25,,,,,,ok,448,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,21,1,0.047619047619047616,0.4738095238095238,-4.421428571428571,-4.895238095238095,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,448,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,6,0.05288730002939701,0.0,0.05286659998819232,0,19.607499999999998,0.85,0.15,,,,,,ok,1458,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,23,1,0.043478260869565216,0.21739130434782608,-5.304347826086956,-5.086956521739131,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,1458,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,7,9.39103990001604,9.229402499971911,0.1616368000395596,2,23.7663,0.8,0.2,6,4,2,28,32,ok,4464,0.17486919998191297,9.052688900148496,0.0011297001037746668,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,34,4,0.11764705882352941,0.4266764705882353,-3.077,-2.7978529411764703,0.18197142882003503,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,691,691,3773,691,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,7,0.12338360003195703,0.12056519999168813,0.002817300148308277,5,24.63005,0.8,0.2,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,22,3,0.13636363636363635,0.659,-5.795454545454546,-5.136454545454546,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,TileQ,7,0.043818100122734904,0.04144090018235147,0.0023762998171150684,400,29.882550000000002,0.75,0.25,,,,,,ok,443,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,23,3,0.13043478260869565,0.7390434782608696,-5.978260869565218,-5.239217391304348,,sampled Q-learning transitions,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,443,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,MPC,7,0.07438529981300235,0.0,0.07436429988592863,0,23.945050000000002,0.8,0.2,,,,,,ok,2024,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,27,3,0.1111111111111111,0.4628888888888889,-4.131481481481481,-3.668592592592592,,scenario mean,8,isolated execution environment,,,,,6,,,,,,,,,,,,,,,,,,,,,,,,2024,,,,,recorded planning or training calls,original measured main experiment
stochastic_braking_car,SDTA-MDP,8,8.075728899799287,7.954489899799228,0.12123869988135993,2,23.0053,0.8,0.2,6,4,2,27,32,ok,4219,0.189922200050205,7.763431899948046,0.0006312001496553421,sampled,sampled-forced,False,False,,,,,finite-action,finite-core,cpu,,,,,stochastic,0.1,random-action-slip,31,3,0.0967741935483871,0.29029032258064513,-2.5663548387096777,-2.5985806451612907,0.18970457333453986,Monte Carlo absorption estimates,32,isolated execution environment with common per-seed disturbance stream,exact-discrete-slip,1.0,,True,,,,,,,,,,,,,,,,,,,,,,,,,691,691,3528,691,0,complete leaf-dynamics replay,original measured main experiment
stochastic_braking_car,FineGridVI,8,0.11519999988377094,0.11320429993793368,0.0019948999397456646,5,23.0,0.8,0.2,,,,,,ok,3136,0.0,,,,,,False,,,,,finite-action,baseline,cpu,,,,,stochastic,0.1,random-action-slip,20,1,0.05,0.1,-4.25,-4.15,,discounted exact finite-action expectation,0,isolated execution environment,,,,,0,,,,,,,,,,,,,,,,,,,,,,,,3136,,,,,recorded planning or training calls,original measured main experiment
