benchmark,method,seed,mean_cost,success_rate,violation_rate,seconds,preparation_seconds,evaluation_seconds
stochastic_continuous_point_mass,SDTA-NoLookahead,6,9.880976209286427,1.0,0.05,649.860048300121,641.9886582999025,7.871388900093734
stochastic_continuous_point_mass,SDTA-NoLookahead,7,9.540561985351353,1.0,0.0,699.454953199951,693.3183358998504,6.136616399977356
stochastic_continuous_point_mass,SDTA-NoLookahead,8,9.363909583132672,1.0,0.0,680.6373280999251,673.0813011999708,7.556025699945167
stochastic_continuous_point_mass,SDTA-NoLookahead,9,9.788592523643553,1.0,0.05,658.0105574000627,646.6802039998583,11.33035230007954
stochastic_pendulum_swing_up,SDTA-NoLookahead,0,252.0600431068066,0.1,0.0,7.160695599857718,4.086960399989039,3.073734400095418
stochastic_pendulum_swing_up,SDTA-NoLookahead,1,225.6515597335394,0.05,0.0,7.24542749999091,4.428830499993637,2.8165961999911815
stochastic_pendulum_swing_up,SDTA-NoLookahead,2,293.0731124764255,0.15,0.0,7.3156628999859095,4.229171099839732,3.086491100024432
stochastic_pendulum_swing_up,SDTA-NoLookahead,3,245.40715782491344,0.1,0.0,6.99728860007599,4.050493000075221,2.9467946998775005
stochastic_pendulum_swing_up,SDTA-NoLookahead,4,303.7680080861809,0.25,0.0,6.8737262999638915,4.16726929997094,2.7064560998696834
stochastic_pendulum_swing_up,SDTA-NoLookahead,5,261.5512149576591,0.15,0.0,7.686590899946168,4.999319100053981,2.6872709998860955
stochastic_pendulum_swing_up,SDTA-NoLookahead,6,151.7974899875382,0.3,0.0,6.388687500031665,3.9031436000950634,2.485543000046164
stochastic_pendulum_swing_up,SDTA-NoLookahead,7,263.29447932892583,0.05,0.0,6.827767399838194,4.130840199999511,2.696926499949768
stochastic_pendulum_swing_up,SDTA-NoLookahead,8,312.0697774985411,0.0,0.0,7.554409599862993,4.721007699845359,2.8334013000130653
stochastic_pendulum_swing_up,SDTA-NoLookahead,9,349.94401918278993,0.05,0.0,6.513066800078377,3.6479496001265943,2.8651163999456912
